date,r
2017-11-11,-0.03005091312745057
2017-11-12,-0.06491415276781029
2017-11-13,0.08928589565361517
2017-11-14,0.00976116292464324
2017-11-15,0.08492221114482379
2017-11-16,0.0647296290175685
2017-11-17,-0.016964182438061554
2017-11-18,0.008970877317584256
2017-11-19,0.028393532079516528
2017-11-20,0.021301890909031337
2017-11-21,-0.01519782962743488
2017-11-22,0.01413529583678067
2017-11-23,-0.023361297595091167
2017-11-24,0.019841387901502423
2017-11-25,0.05609885208648451
2017-11-26,0.053559303404982106
2017-11-27,0.03738131536303234
2017-11-28,0.01510461989158581
2017-11-29,-0.005920992884305974
2017-11-30,0.009448904162899329
2017-12-01,0.07550934377569453
2017-12-02,0.004036520862498665
2017-12-03,0.025838011244093736
2017-12-04,0.028352872024347296
2017-12-05,0.003184012449666167
2017-12-06,0.14096755711293252
2017-12-07,0.17454663023285957
2017-12-08,-0.04189381804309834
2017-12-09,-0.06695228981907023
2017-12-10,0.012411582090164632
2017-12-11,0.09041296856922136
2017-12-12,0.017838924424092538
2017-12-13,-0.04101179297129015
2017-12-14,0.009491348007209835
2017-12-15,0.057300131203919136
2017-12-16,0.08092937588568992
2017-12-17,-0.01250478313572937
2017-12-18,-0.004215108155554826
2017-12-19,-0.06817263603400847
2017-12-20,-0.05364454712944786
2017-12-21,-0.044399291139837614
2017-12-22,-0.11543416361740239
2017-12-23,0.04475901254307194
2017-12-24,-0.036943270564998805
2017-12-25,0.0027032708368311944
2017-12-26,0.11172405066941446
2017-12-27,-0.018723774444243654
2017-12-28,-0.05862912259073582
2017-12-29,-0.00036370327726308673
2017-12-30,-0.11885030539004592
2017-12-31,0.08589079917530382
2018-01-01,-0.025504310512272886
2018-01-02,0.07975598201851676
2018-01-03,0.023101712355201257
2018-01-04,0.0013297752943829413
2018-01-05,0.09490055618455308
2018-01-06,0.01094068222839043
2018-01-07,-0.04853548568598974
2018-01-08,-0.06891287172073987
2018-01-09,-0.011406072617838067
2018-01-10,0.015226014124320574
2018-01-11,-0.09064215401703812
2018-01-12,0.02199276569546849
2018-01-13,0.024704464855166617
2018-01-14,-0.036623201532645804
2018-01-15,0.0001441357271946262
2018-01-16,-0.16045316536825666
2018-01-17,-0.012916335963566086
2018-01-18,0.004062521220498434
2018-01-19,0.02518100403966203
2018-01-20,0.08989983212900858
2018-01-21,-0.08881096616206026
2018-01-22,-0.05582260381623709
2018-01-23,0.003028250473607126
2018-01-24,0.042172860892322084
2018-01-25,-0.018890725577167054
2018-01-26,-0.00652939344929288
2018-01-27,0.026558562510476943
2018-01-28,0.024176476143682523
2018-01-29,-0.041009094136639467
2018-01-30,-0.08656744788718991
2018-01-31,0.008351612433993965
2018-02-01,-0.09581584500587596
2018-02-02,-0.02734611024815368
2018-02-03,0.03293711602302145
2018-02-04,-0.1002714804083312
2018-02-05,-0.14570151393090763
2018-02-06,0.0895145436049323
2018-02-07,-0.011952540886423576
2018-02-08,0.062063411350711015
2018-02-09,0.05453869098623582
2018-02-10,-0.013944743169261224
2018-02-11,-0.04929021903292968
2018-02-12,0.08310025506780766
2018-02-13,-0.035858099397766706
2018-02-14,0.08937383946532225
2018-02-15,0.049365529976951046
2018-02-16,0.012007149296694941
2018-02-17,0.07231985655802646
2018-02-18,-0.053957744097771446
2018-02-19,0.06135905310608515
2018-02-20,0.005308945083929609
2018-02-21,-0.06056526366645642
2018-02-22,-0.05336344817338505
2018-02-23,0.028198418195997638
2018-02-24,-0.04026584406790731
2018-02-25,-0.010599245650717421
2018-02-26,0.060490882712684976
2018-02-27,0.025431398537396406
2018-02-28,-0.021368540178764436
2018-03-01,0.046131029177547085
2018-03-02,-0.006066496935069259
2018-03-03,0.04438145688739519
2018-03-04,0.0010682533077827957
2018-03-05,-0.0064825793154067125
2018-03-06,-0.05114988437734246
2018-03-07,-0.06444797250533883
2018-03-08,-0.05391379102759291
2018-03-09,-0.007694652691029496
2018-03-10,-0.04345274868151402
2018-03-11,0.07208037674924739
2018-03-12,-0.036072448826065265
2018-03-13,0.001642284952126734
2018-03-14,-0.09343938219761504
2018-03-15,0.005605792831655745
2018-03-16,0.002571805950002536
2018-03-17,-0.04400856236170639
2018-03-18,0.03484774442028806
2018-03-19,0.04242953425180068
2018-03-20,0.028970166610965416
2018-03-21,-0.0006454793150936415
2018-03-22,-0.01749595777484741
2018-03-23,0.01854581853300025
2018-03-24,-0.036315466130981126
2018-03-25,-0.00748359780119344
2018-03-26,-0.03406511168429382
2018-03-27,-0.03680334286525105
2018-03-28,0.01669123950157917
2018-03-29,-0.0940623604591832
2018-03-30,-0.03382666679092078
2018-03-31,0.010517601001752789
2018-04-01,-0.014094222325828529
2018-04-02,0.030051889949714028
2018-04-03,0.04215271594735948
2018-04-04,-0.07425690182771914
2018-04-05,-0.0033976862905729993
2018-04-06,-0.020193957593423333
2018-04-07,0.03570816857250604
2018-04-08,0.015373065316145585
2018-04-09,-0.030899932225355746
2018-04-10,0.009177006237012019
2018-04-11,0.013331422308236142
2018-04-12,0.11136089658875235
2018-04-13,-0.004255238138598488
2018-04-14,0.012638608630438003
2018-04-15,0.03767810845060038
2018-04-16,-0.030672431179407898
2018-04-17,-0.017340364577879123
2018-04-18,0.02879295610658217
2018-04-19,0.011715995560820081
2018-04-20,0.057670490184426486
2018-04-21,0.0054133307041005045
2018-04-22,-0.011270262493380836
2018-04-23,0.014122381088669266
2018-04-24,0.06394854623680293
2018-04-25,-0.07162372319146464
2018-04-26,0.03913191083858993
2018-04-27,-0.0325983642744908
2018-04-28,0.038621549930746533
2018-04-29,0.0057351050833975665
2018-04-30,-0.01563951534266547
2018-05-01,-0.015948697817059956
2018-05-02,0.015772282913908642
2018-05-03,0.04578991112811645
2018-05-04,-0.0036259033247137123
2018-05-05,0.012715677406501022
2018-05-06,-0.017343031153994017
2018-05-07,-0.020217833150464035
2018-05-08,-0.021675684241341687
2018-05-09,0.01137611892775806
2018-05-10,-0.02745761494329703
2018-05-11,-0.06081768466055013
2018-05-12,0.005210645164553054
2018-05-13,0.023419701788775515
2018-05-14,-0.0019175237429609024
2018-05-15,-0.019728424876276858
2018-05-16,-0.013532219367564309
2018-05-17,-0.029444593486997895
2018-05-18,0.019231626677244668
2018-05-19,-6.245801443263806e-05
2018-05-20,0.02905669975721358
2018-05-21,-0.012744005470246815
2018-05-22,-0.04157115037736195
2018-05-23,-0.054631637400825765
2018-05-24,0.009159912633156332
2018-05-25,-0.013122272214886288
2018-05-26,-0.01346591600011375
2018-05-27,0.0006294027723235337
2018-05-28,-0.029320548613899104
2018-05-29,0.04100845560650367
2018-05-30,-0.007805156689668261
2018-05-31,0.01180713156624716
2018-06-01,0.003220112556328825
2018-06-02,0.013097796980862577
2018-06-03,0.009233105530239451
2018-06-04,-0.02535655224608648
2018-06-05,0.01442681966083763
2018-06-06,0.0033114843981671845
2018-06-07,0.0041131070455057905
2018-06-08,-0.00848246607551641
2018-06-09,-0.012054617062943196
2018-06-10,-0.08905345166969279
2018-06-11,0.013923404492883405
2018-06-12,-0.04185134192199857
2018-06-13,-0.03280156833996221
2018-06-14,0.04435839761917808
2018-06-15,-0.031135171030355416
2018-06-16,0.012692832089562999
2018-06-17,-0.006023965283125784
2018-06-18,0.03380285883555731
2018-06-19,0.0041539242634364764
2018-06-20,0.0016508823229389683
2018-06-21,-0.00475806058046033
2018-06-22,-0.0903620453807281
2018-06-23,0.015673900988487057
2018-06-24,-0.0017693137091842578
2018-06-25,0.01410830446315781
2018-06-26,-0.024279158535652736
2018-06-27,0.010212690971805863
2018-06-28,-0.03870733892889099
2018-06-29,0.046812995945963824
2018-06-30,0.025263709769932752
2018-07-01,-0.004316581661894964
2018-07-02,0.03340821582553042
2018-07-03,-0.013855748756101802
2018-07-04,0.011115443081601664
2018-07-05,-0.006777834744736991
2018-07-06,0.009284711303499523
2018-07-07,0.018958796743868144
2018-07-08,-0.006456380206822593
2018-07-09,-0.006119008915300565
2018-07-10,-0.04763081240711607
2018-07-11,0.011073665422682243
2018-07-12,-0.01881087672791575
2018-07-13,-0.0028058650407042224
2018-07-14,0.003382406265985335
2018-07-15,0.014707361600699204
