date,r
2017-11-10,-0.038767950872102865
2017-11-13,0.03150533741915945
2017-11-14,0.03552264586870201
2017-11-15,-0.0070767657059020205
2017-11-16,-0.004069084184121453
2017-11-17,0.0024620906015479912
2017-11-20,0.0546075167122238
2017-11-21,-0.009670334682407042
2017-11-22,0.030367770978948508
2017-11-24,0.12289796820792033
2017-11-27,0.006331490059852161
2017-11-28,-0.008686354545647047
2017-11-29,-0.05603803018359079
2017-11-30,0.024889082753305883
2017-12-01,0.023625139285278776
2017-12-04,0.004345545953181003
2017-12-05,-0.008239533529840465
2017-12-06,-0.0432381704430157
2017-12-07,0.007492495249223759
2017-12-08,0.026983912271127224
2017-12-11,0.06769781399884924
2017-12-12,0.13039641671511754
2017-12-13,0.042136204841914424
2017-12-14,-0.0055217043685980485
2017-12-15,-0.009150365167419504
2017-12-18,0.0829253434018078
2017-12-19,0.022050315811355643
2017-12-20,-0.005222487044782794
2017-12-21,0.001339148530850431
2017-12-22,-0.10892887879541212
2017-12-26,0.07602163668810638
2017-12-27,-0.007948559509444465
2017-12-28,-0.019126568750086156
2017-12-29,0.012349669337547685
2018-01-02,0.08893868140118939
2018-01-03,0.04710757784212918
2018-01-04,0.01040455690644695
2018-01-05,0.00943208128947833
2018-01-08,0.07819405242768589
2018-01-09,0.06870393865876308
2018-01-10,-0.019095317347090943
2018-01-11,-0.046521814289170425
2018-01-12,0.05415686466714572
2018-01-16,-0.10511851632561213
2018-01-17,-0.021191340384314968
2018-01-18,0.011936392009219749
2018-01-19,0.0015095618009309754
2018-01-22,-0.01949787586783658
2018-01-23,-0.00951079419851449
2018-01-24,0.03943102353184964
2018-01-25,-0.0014446711276900317
2018-01-26,-0.00045255264510645686
2018-01-29,0.06322076422595449
2018-01-30,-0.05488159372955108
2018-01-31,0.023944183281765098
2018-02-01,-0.042044724938504245
2018-02-02,-0.06893823326531626
2018-02-05,-0.15088966339134813
2018-02-06,0.07100747108092216
2018-02-07,-0.025843686504824225
2018-02-08,0.04286911699827309
2018-02-09,0.04314944136321533
2018-02-12,-0.009609147699127511
2018-02-13,-0.015200449688071289
2018-02-14,0.04921372680361916
2018-02-15,0.008010665212682073
2018-02-16,0.004272251871919841
2018-02-20,-0.029502429897795963
2018-02-21,-0.02890549231046509
2018-02-22,-0.024809271649023995
2018-02-23,0.034024477976040496
2018-02-26,0.003285189671863635
2018-02-27,0.005689810162847512
2018-02-28,-0.014783976832581465
2018-03-01,0.01093463302958213
2018-03-02,-0.00986128649873663
2018-03-05,-0.0020582519857750064
2018-03-06,-0.02443164024049777
2018-03-07,-0.04540495688047444
2018-03-08,-0.03678251359804676
2018-03-09,0.018850004368450957
2018-03-12,-0.022619421133789723
2018-03-13,-0.007193281470756528
2018-03-14,-0.06522619434755215
2018-03-15,-0.002707674418100599
2018-03-16,-0.00882781930314263
2018-03-19,-0.0431224051875831
2018-03-20,0.00044779849811151694
2018-03-21,0.0045247596961467814
2018-03-22,-0.022223923296902308
2018-03-23,-8.544285408528347e-05
2018-03-26,-0.05363715274805297
2018-03-27,-0.04710570336155751
2018-03-28,-0.0047555755903709454
2018-03-29,-0.08065173883034871
2018-04-02,0.0006573339355511741
2018-04-03,0.04215727208263693
2018-04-04,-0.050677728760893125
2018-04-05,0.003911414434150364
2018-04-06,-0.019090880393196893
2018-04-09,0.0408284893626865
2018-04-10,0.021486435326926564
2018-04-11,0.021435011323494933
2018-04-12,0.0751853627904483
2018-04-13,-0.00023221561588526832
2018-04-16,0.02037862371732855
2018-04-17,-0.009042173724086881
2018-04-18,0.023673294382433166
2018-04-19,0.043844754336699175
2018-04-20,0.044918798027163684
2018-04-23,0.02369303837697338
2018-04-24,0.05400809531961879
2018-04-25,-0.07797366214611684
2018-04-26,0.04121103119022323
2018-04-27,-0.01338244083586963
2018-04-30,0.019313642553235682
2018-05-01,0.003050446431778152
2018-05-02,0.01105173026001543
2018-05-03,0.07007900601887818
2018-05-04,0.004316417652170273
2018-05-07,-0.023025561244838642
2018-05-08,-0.0006400662110202054
2018-05-09,-0.0004295696669599359
2018-05-10,-0.018772607350314663
2018-05-11,-0.037675436755334094
2018-05-14,0.040168999094308315
2018-05-15,-0.016732958594116273
2018-05-16,-0.0014288108973267697
2018-05-17,-0.02770005755131858
2018-05-18,0.017645260146891828
2018-05-21,0.003870454441944529
2018-05-22,-0.042482490187986735
2018-05-23,-0.057938218222357556
2018-05-24,0.017031504380925225
2018-05-25,-0.014042166226033222
2018-05-29,-0.020586159047318017
2018-05-30,-0.005725896101761613
2018-05-31,0.017639691938120226
2018-06-01,0.002301269750720389
2018-06-04,0.012257913847625698
2018-06-05,0.015079687408180846
2018-06-06,-0.0019900780585350173
2018-06-07,-0.001775112905505767
2018-06-08,-0.0037853583221614437
2018-06-11,-0.06647510313674967
2018-06-12,-0.039317719194399546
2018-06-13,-0.022065503451023642
2018-06-14,0.04709511118846624
2018-06-15,-0.0315965088656508
2018-06-18,0.030686214840769072
2018-06-19,0.020044772880990387
2018-06-20,-0.0017467596218422741
2018-06-21,-0.009297448584322887
2018-06-22,-0.06893865510907547
2018-06-25,-0.006606267792286357
2018-06-26,-0.034267789410619816
2018-06-27,0.012178747709722592
2018-06-28,-0.025700073106721212
2018-06-29,0.01766076688658886
2018-07-02,0.047984545636298385
2018-07-03,-0.013187531484841024
2018-07-05,0.012093815311462964
